Sıra No,Arapça,Ravi,Meal,Kaynak
1862,,Ukbe ibni Amir (Allah Ondan raz ı olsun),"Ukbe ibni Amir (Allah Ondan raz ı olsun)’dan rivayete göre Rasûlullah  (sallallahu aleyhi vesellem) aradan sekiz y ıl geçtikten sonra Uhud şehidlerini  ziyarete gitti. Ölü ve ya şayanlara veda eder gibi onlara dua etti ve konu şmak üzere  minbere çıkarak şunları söyledi:  “Ben ahirete sizden önce gidece ğim ve sizin için haz ırlık yapaca ğım. Sizin  Allah yolundaki hizmetlerinize şahitlik yapaca ğım. Bulu şma yerimiz Kevser  havuzunun yan ıdır. Şu anda ben bu yerimde Kevser havuzunu görmekteyim. Ben  sizin şirke dü şmenizden korkmuyorum ama dünya h ırsıyla birbirinizle yar ış edip  çekişmenizden korkuyorum.”  Ukbe: Peygamber Efendimiz (sallallahu al eyhi vesellem)’i minber üzerinde en  son gören ben oldum demiştir. (Buhari, Megazi, 17; Müslim, Fezail, 31)  Müslim’in diğer bir rivayetinde  “Ben sizin dünya h ırsıyla birbirinize dü şüp kap ışmanızdan ve birbirinizi  öldürmenizden ve sizden öncekiler gibi helak olup gitmenizden korkuyorum.”  Ukbe: Bu benim Rasûlullah (sallallahu  aleyhi vesellem)’i minberde son  görüşüm oldu. (Müslim, Fezail, 31)","Müslim, Fezail, 31"
1863,"                 K  Buhari’nin değişik bir rivayetinde ise:   “Aranızda Kevser havuzuna ilk ula şan ben olaca ğım ve sizin Allah yolundaki  hizmetlerinize şahitlik edeceğim. Vallahi şu anda havuzum gözümün önünde ve ona  bakıyorum. Dünya hazinelerinin anahtarlar ı veya dünyanın anahtarları bana verildi.  Vallahi sizin benden sonra şirke dü şmenizden hiç korkum yok. Ben sizin dünyay ı  elde etmek için birbirinizle kap ışıp kavga etmenizden korkuyorum.” (Buhari,  Cenaiz, 71)                                  K",,"Ebu Zeyd Amr ibni Ahtab el-Ensari (Allah Ondan raz ı olsun) şöyle  demiştir: Rasûlullah (sallallahu aley hi vesellem) bize sabah namaz ını k ıldırınca  minbere ç ıkarak ö ğle namaz ına kadar konu ştu. A şağı inip namaz k ıldırdı, tekrar  minbere ç ıktı ve ikindi namaz ına kadar konu ştu. Minberden inip ikindiyi k ıldırıp  güneş bat ıncaya kadar konu ştu, bize olmu ş ve olacak her şeyden haber verdi ve:  “Bizim en çok alim olan ımız Kur’an-ı Kerim’i en çok h ıfzedenimizdir.” buyurdu.  (Müslim, Fiten, 25)","Müslim, Fiten, 25"
1864,     K,Ai şe (Allah Ondan raz ı olsun),"Ai şe (Allah Ondan raz ı olsun)’dan rivayet edildi ğine göre Rasûlullah  (sallallahu aleyhi vesellem) şöyle buyurdu: “Her kim Allah’a itaat etmek üzere adak  adarsa ona itaat etsin, isyan etmeyi adayan da ada ğından vazgeçip Allah’a kar şı  gelmesin.” (Buhari, Eyman, 28)     K",
1865,,Ümmü Şerik (Allah Ondan raz ı olsun),"Ümmü Şerik (Allah Ondan raz ı olsun)’dan rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi ve sellem) zehirli ve çok zararl ı olan iri kelerleri  öldürmeyi emretti ve, “O İbrahim (sallallahu aleyhi vesellem)’i yakmak için yak ılan  ateşi üfleyerek daha da yakmaya çalışırdı.” (Buhari, Enbiya, 17; Müslim, Selam, 142)","Buhari, Enbiya, 17; Müslim, Selam, 142"
1866,J                         W           K,Ebu Hureyre (Allah Ondan raz ı olsun),"Ebu Hureyre (Allah Ondan raz ı olsun)’den rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu: “Zehirli iri keleri kim ilk  vuruşta öldürürse onun için şu kadar sevap yaz ılır. İkinci vuru şta öldüren için  birincisinden daha az olarak şu kadar sevap vard ır. Eğer bir kimse üçüncü vuru şta  öldürürse ona da şu kadar sevap vardır.” (Müslim, Selam, 146)  Müslim’in diğer bir rivayetinde ise şöyledir:  “Kim zehirli iri keleri ilk vuru şta öldürürse ona yüz sevap yaz ılır, ikinci  vuruşta öldürene bundan biraz az, üçüncü vuru şta öldürene de daha az sevap  verilir.” (Müslim, Selam, 147)","Müslim, Selam, 147"
1867,J                           W           >   W        >                    W          >        >             W                   K,Ebu Hureyre (Allah Ondan raz ı olsun),"Ebu Hureyre (Allah Ondan raz ı olsun)’den rivayete göre Rasûlullah  (sallallahu aleyhi vesellem) şöyle buyurdu: “Geçmi ş zamanlarda bir adam mutlaka  bir sadaka verece ğim dedi, geceleyin evinden ç ıkıp sadakas ını bilmeyerek bir  hırsızın eline koymu ştu. Sabah olunca insanlar vay... filan h ırsıza sadaka verilmi ş  diye söylenirler. Sadakayı veren kimse:  - Allahım sana hamdolsun. Ben bir sadaka daha verece ğim. Yine gece evinden  çıktı, bilmeyerek sadakasını bir fahişenin eline tutuşturdu. Sabahleyin herkes vay bu  gece de bir fahi şeye sadaka verilmi ş olacak şey de ğil, diye söylenirler. Sadakay ı  veren kimse Allah’ ım bir fahi şeye sadaka verdi ğim için sana hamdolsun der.  Mutlaka bir sadaka daha verece ğim diyerek geceleyin evinden ç ıkar, o gün de  sadakasını bir zenginin avucuna b ırakır. Ertesi gün bu ne i ştir zengine bile sadaka  verilmeye ba şlandı diyerek söylenirler. Sadaka veren kimse de: Allah’ ım, h ırsıza,  fahişeye ve zengine sadaka verdiğim için sana hamdolsun, dedi.  Uykusunda o kimseye şöyle denildi:  Hırsıza verdiğin sadaka belki onu yapt ığı hırsızlıktan utandırıp vazgeçirmiştir.  Fahişe olan yapt ıklarından vazgeçip iffetli bir kad ın olacakt ır. Zengin de belki  bundan ibret al ıp Allah’ ın kendisine verdi ği mallardan muhtaçlara verecektir.  (Buhari, Zekat, 14; Müslim, Zekat, 78)","Buhari, Zekat, 14; Müslim, Zekat, 78"
1868,                            W                                                                      W                                             W                                  W                        K                                              W                                K,,"Yine Ebu Hureyre (Allah Ondan raz ı olsun) şöyle demi ştir: Bir gün  Rasûlullah (sallallahu aleyhi vesellem)’la birlikte bir davette idik. Kendisine etin kol  tarafından bir parça ikram edildi. Rasûlullah (s allallahu aleyhi vesellem) etin bu  kısmını severdi, ondan bir lokma kopar ıp şöyle buyurdu. K ıyamet günü insanlar ın  efendisi ve ulusu benim, bunun sebebini bilir misiniz? Dedi ve şöyle buyurdu:  - Allah gelmi ş geçmi ş tüm insanlar ı düz bir yere toplayacak, oras ı insanlara  bakan kimsenin hepsini görebilece ği onlara ça ğıranın hepsini sesini duyurabilece ği  bir yerdir. Güne ş onlara yakla şacak, insanlar ın s ıkıntıları dayan ılmayacak hale  gelecek ve mahşer halkı birbirlerine:  - Ba şınıza gelen şu s ıkıntıları görmüyor musunuz? Durumunuzu Rabbinize  arzederek size kimin şefaat edece ğine niçin bakm ıyorsunuz, diyecekler. Bir k ısmı  diğerlerine:  - Babanız Adem (a.s.)’e gidin diyecekler. Adem (a.s.)’e gelip,   - Ey Adem (a.s.) sen insanlar ın babasısın. Allah seni  eli ile yaratt ı. Sana kendi  ruhundan üfürdü. Melekleri sana tazim et melerini emretti. Onlar da sana secde  ettiler. Seni cennete yerle ştirdi. Rabbine gidip bizim için şefaat ediver. İçinde  bulunduğumuz hali sıkıntıyı görmüyor musun, diyecekler. O da:  - Bugün Rabbim öyle gazabl ıdır ki şimdiye kadar böyle gazab etmemi ş,  bundan sonra da bu tür gazap etmez. Bir de ben cennetteki o yasak meyveden yemi ş  Allah’a asi olmu ştum. Size şefaat edecek yüzüm yok, kendimi dü şünüyorum,  kendimi kurtarabilirsem o bana yeter, siz başkasına gidin, Nuh’a gidin diyecek, onlar  da Nuh’a gidecekler.  - Ey Nuh, yeryüzündeki insanlara gönd erilen Rasullerin ilkisin. Allah sana çok  şükreden kul ad ını verdi. İçinde bulundu ğumuz hali görmüyor musun, bize  Rabbinin huzurunda şefaat etmeyecek misin? Diyecekler. O da:  - Bu gün Rabbiniz görülmedik şekilde gazabl ıdır. Ne daha önce böyle  gazaplandı, ne de sonra gazaplan ır. Ben vaktiyle kavmimin helak ı için dua etmiştim.  Asıl ben şefaata muhtac ım, kendimi dü şünüyorum. Siz ba şkasına gidin, İbrahim’e  gidin, diyecek. Onlar İbrahim’e gelecek:   - Sen Allah’ın peygamberisin, yeryüzü halkı içinde Allah’ın dostu sensin İçinde  bulunduğumuz hali görmüyor musun, bize. Rabbine hakk ımızda şefaat eyle,  diyecekler. O da şunları söyleyecek:   - Bugün Rabbim benzeri görülmedik şekilde gazapl ıdır. Ne daha önce  böylesine gazapland ı ne de bundan sonra böyle gazaplan ır. Ben vaktiyle üç yerde  yalan söylemi ştim, onun için şefaate ben muhtac ım, bu yüzden ben kendimi  düşünüyorum, siz kendinize bir şefaatçi arayınız. Musa’ya gidin. Onlar da Musa’ya  gelip şöyle diyecekler.  - Ey Musa, sen Allah’ ın Rasûlüsün. Allah sana risalet ve konu şmasıyla di ğer  insanlara üstün k ılmıştır. Rabbinin huzurunda bize şefaat et, içinde bulundu ğumuz  hali görmüyor musun? O da:  - Bugün Rabbim benzeri görülmedik bir şekilde gazapl ıdır. Ne daha önce  böylesine gazaplandı, ne de bundan sonra böylesine gazaplan ır. Ben öldürülmesine  emir almadığım bir adam ı öldürdüm. Asıl benim şefaata muhtaç olan, siz ba şkasına  gidin, İsa’ya gidin, diyecek, onlar da İsa’ya gelerek:  - Ey İsa, sen Allah’ ın Rasûlü, O’nun Meryem’e yöneltti ği kelimesi ve onun  yarattığı bir ruhsun. Sen daha be şikte iken insanlarla konuştun. Rabbinin huzurunda  bize şefaat et, içinde bulundu ğumuz peri şan hali görmüyor musun diyecekler. İsa  da: Bugün Rabbim benzeri görülmedik şekilde gazapl ıdır, ne daha önce böylesine  gazaplandı, ne de bundan sonra böyle gazaplan ır, diyecek ama i şlediği bir günah  zikretmeyecek. Sonra da as ıl benim nefsim şefaat edilmeye muhtaçt ır. Siz ba şkasına  gidin, Muhammed (sallallahu aleyhi  vesellem)’e gidin diyecek, (Başka bir rivayette)  Onlar da bana gelecek:  - Ya Muhammed Sen Allah’ın Rasulü ve son peygamberisin. Allah senin gelmiş  geçmiş tüm günahlar ını ba ğışlamıştır. Rabbinin huzurunda bize şefaat et, içinde  bulunduğumuz sıkıntılı durumu görmüyor musun? Diyecekler. Ben de hemen Ar şın  altına varıp Rabbım için secdeye kapanaca ğım, sonra Allah kimseye ö ğretmediği en  güzel hamdi ve övgüyü bana ilham edecek, sonra bana hitaben:  - Ya Muhammed, secdeden ba şını kaldır. İste istediğin sana verilecek, şefaat et  şefaatın kabul edilecek, buyuracak. Ben de başımı secdeden kaldıracağım ve  - Ya Rab ümmetimi bana ba ğışla, ümmetimi kurtar diye yalvaraca ğım. O  zaman bana:  - Ya Muhammed ümmetinden hesaba çekilmeyecek olanlar ı cennet kapılarının  en sa ğındaki Bab-ül Eymen’den içer i al, onlar esasen her kap ıdan girebilirler,  buyurulacak.  Sonra Rasûlullah (sallallahu aleyhi vesellem) şöyle devam etti:  - Hayatımı  elinde tutan Allah’a yemin ederim ki cennet kap ılarının iki  kanadı arasındaki mesafe Mekke ile Bahreyn’deki Hacer veya Mekke ile Suriye’deki  Basra arasındaki mesafe kadar geniştir. (Buhari, Enbiya, 3; Müslim, İman, 327)","Buhari, Enbiya, 3; Müslim, İman, 327"
1869,                                                                   W                               W                                                                                           W              W                 W                               J            J                                                                                      >                                                 W       J           W                                           K   W        W          K   W                    K                             K     W    K  W   W                       K  W                           K  W  W   K                                   K    W                                 W                                                    W                   K                                                                        W                                               K,,"İbni Abbas (Allah Onlardan raz ı olsun) şöyle demi ştir: İbrahim  (sallallahu aleyhi vesellem) İsmail’in annesi Hacer ile emzirmekte oldu ğu İsmail’i  alıp Mekke’ye getirdi. Onları Kabe’nin üst tarafında zemzemin yukarısındaki büyük  bir ağacın altına bıraktı. O zamanlar Mekke’de kimse bulunmadığı gibi içecek su da  yoktu. İşte İbrahim kar ısı ile o ğlunu oraya b ıraktı ve yanlar ına da içi hurma ve su  dolu iki k ırba bıraktı. Sonra İbrahim (a.s) Şam’a gitmek üzere oradan ayrıldı. Hacer  de onun peşinden giderek:  - Ey İbrahim bizi konu şup görü şecek bir kimsenin yiyip içecek bir şeyin  bulunmadığı bu vadide tek ba şına b ırakıp ta nereye gidiyorsun? Diye birkaç sefer  sormasına ra ğmen İbrahim (sallallahu aleyhi vesellem) dönüp bakmad ı bile,  sonunda Hacer:  - Bunu böyle yapmanı sana Allah mı emretti, deyince, İbrahim:  - Evet, Allah emretti, diye cevap verdi. Hacer:  - Öyleyse Allah bizi korur, dedi ve oğlunun yanına döndü.  İbrahim (a.s.) yürüdü gitti, kimsenin kendisini göremedi ği Seniyye mevkiine  varınca yüzünü Kabe tarafına çevirdi ve ellerini kaldırarak şöyle dua etti:  “Ey Rabbimiz! soyumdan bir k ısmını ekin bitmez bir yere, senin kutsal evinin  yakınına yerle ştirdim. Ey Rabbimiz! namaz ı devaml ı ve tam bir duyarl ılık içinde  kılıp yerine getirsinler. Art ık sen, insanlardan bir k ısmının gönlünü hevesle oralara  meylettir ki, hac ve umre maksad ıyle gelip gitmelerinde de çe şitli meyvelerle  rızıklandır onları, belki şükrederler.” (14 İbrahim suresi, 37)  Hâcer İsmail’i emziriyor ve k ırbadaki sudan içiyordu. Nihayet k ırbadaki su  tükendi, hem kendi hem de oğlu susadı. Hâcer çocuğun susuzluktan toprak üzerinde  yuvarlandığını görünce yavrusunun bu ac ıklı haline bakmaktan üzülerek onun  yanından kalkıp oraya en yak ın tepe olan Safa’ya gitti ve tepenin üstüne ç ıktı. Sonra  acaba bir kimse görebilir miyim diye vadiye bak ındı, fakat kimseyi göremedi. Safa  tepesinden inip vadiye gelince ko şmasına engel olmas ın diye elbisesinin ete ğini  topladı, sonra da çok zor durumda kalan bir insan ın gayretiyle ko şmaya ba şladı  vadiyi geçip Merve’ye geldi. Tepenin üzerine çıkıp acaba birini görebilir miyim diye  bakındı fakat kimseyi göremedi. İki tepe arasında böylece yedi defa gidip geldi.  İbni Abbas diyor ki Rasûlullah (s allallahu aleyhi vesellem) “İşte bundan dolayı  halk Safa ile Merve aras ında sa’y ederler” buyurarak sözüne devam etti. Hacer  Merve tepesine ç ıkınca bir ses duydu. Kendi kendin e Sus dinle dedi. Sonra iyice  kulak verdi. Ayn ı sesi bir daha duydu. Tamam sesini duyurdun, e ğer bize yard ım  edebilecek durumda isen bize yard ım et, dedi. Bir de bakt ı ki şimdiki zemzemin  olduğu yerde bir melek topu ğuyla veya kanad ıyla topra ğı kaz ıp zemzemi ortaya  çıkardı. Hâcer de ak ıp gitmesin diye suyun etraf ını çevirmeye ve bir taraftan da  kırbasını doldurmaya çabal ıyordu. Hâcer suyu avuçlad ıkça yerden su kayn ıyordu.  İbni Abbas (Allah Onlardan raz ı olsun) şöyle dedi: Peygamber (sallallahu aleyhi  vesellem) Allah İsmail’in annesine rahmet etsin, zemzemi kendi haline b ıraksaydı  veya suyu avuçlamasaydı zemzem suyu akan bir ırmak olurdu, buyurdu. İbni Abbas  sözüne şöyle devam etti:  Hâcer sudan içti, yavrusunu emzirdi. Melek ona:  - Sak ın mahvoluruz diye korkmay ın. İşte şurası Beytullah ınyeridir. Onu şu  çocukla babası yapacakt ır. Allah o i şi yapacak kimsenin yok olmas ına izin vermez.  Beytullahın yeri; yer seviyesinden biraz yüksekçe idi, zamanla seller sa ğını solunu  yalayıp a şındırmıştı. Onlar bu şekilde ya şayıp giderken Cürhüm kabilesinden bir  grup insan veya onlardan bir aile Keda  yolundan gelerek Mekke’nin alt taraf ına  indiler. O s ırada bir ku şun gelip gitti ğini gördüler. Bu ku ş mutlaka bir suyun  etrafında dönüp duruyordur dediler, bu vadide su olmamas ı laz ımdı v e   b u n u   anlamak için bir veya iki ki şiyi oraya gönderdiler. Gidenler orada suyun  bulunduğunu görüp durumu haber verdiler. Suyun yan ına geldiklerinde Hâcer’i  gördüler:  - Bizim buraya yerleşmemize izin verir misin diye sordular, o da:  - Evet bu sudan istifade ed ebilirsiniz ama mülkiyeti hakk ında bir hak iddia  etmemek şartıyla dedi. Onlar da peki, kabul, dediler.  İbni Abbas rivayetine şöyle devam etti:  İnsanlarla bir arada olmaya ihtiyaç duydu ğu bir s ırada onlar ın ç ıkagelmesi  Hacer’i sevindirdi. Cürhümîler oraya yerle ştikleri gibi di ğer akrabalar ına da haber  saldılar, onlar da gelip buraya yerleştiler. Böylece orada ev bark çoğalmış oldu.  Hacer’in oğlu İsmail büyüyüp geli şti. Cürhümîlerden Arapça ö ğrendi. İyi  halleriyle Cürhümîler aras ında be ğenilip takdirlerini kazanm ıştı. Ergenlik ça ğına  gelince onu kendilerinden bir k ızla evlendirdiler. Günün birinde Hacer vefat etti.  Uzun bir zaman sonra İbrahim burada b ıraktığı kar ısı ve o ğlunu ziyaret için  Mekke’ye geldi. Fakat İsmail’i evde bulamadı. Karısına:  - İsmail nerede, diye sordu. Kadın:  - R ızkımızı temin etmeye, di ğer bir rivayete göre avlanmaya gitti, dedi.  İbrahim (sallallahu aleyhi vesellem) geçim durumlarını ve nasıl olduklarını sordu. O  kadın da:  - Çok kötü durumday ız, büyük bir s ıkıntı ve darlık içindeyiz, diye hallerinden  şikayet etti. İbrahim de:  - Kocan gelince ona selam ımı söyle, kendisine hat ırlat da kap ısının e şiğini  değiştirsin, dedi.  İsmail eve gelince orada birşeyler olduğunu sezdi ve karısına:  - Ben yokken eve biri geldi mi diye sordu. O da:  - Evet, yaşlı bir adam geldi, diyerek onu tarif etmeye çal ıştı. Seni sordu, ben de  ava gitti ğini haber verdim, nas ıl geçindi ğimizi sordu, bende geçim s ıkıntısı  çektiğimizi anlattım ve bana kocan gelince ona selam ımı söyle, kendisine hat ırlat da  kapısının eşiğini değiştirsin, dedi. İsmail:  - O gelen benim babamd ır, bana senden bo şanmamı emretmiş. Haydi ailenin  yanına dönebilirsin, dedi. O kad ını bo şayıp Cürhümîlerden ba şka bir kad ınla  evlendi. Allah’ın diledi ği kadar bir zaman geçtikten sonra İbrahim tekrar o ğlunun  evine ziyarete geldi. Fakat İsmail’i yine bulamadı. İçeri girip İsmail’i sordu. Karısı,  rızkımızı temin etmeye gitti, dedi. İbrahim:   - Geçiminiz, haliniz nasıldır diye sordu. Kadın:  - Çok iyi durumday ız, rahat ve bolluk içindeyiz, diyerek Allah’a hamd etti.  Konuşma şöyle devam etti:  - Ne yiyorsunuz?  - Et yiyoruz.   - Ne içiyorsunuz?  - Su.  O zaman İbrahim(a.s) : Allah ım, etlerine ve sular ına bereket ver diye dua etti.  Rasûlullah (sallallahu aleyhi vesellem) sözün burasında şöyle buyurdu: “O zamanlar  Mekke’de ekin yoktu, e ğer olsayd ı tah ılın da bereketlenmesi için dua ederdi.” İbni  Abbas dedi ki: İbrahim’in duası bereketiyle et ile su, ba şka yerde ya şayanlarla  kıyaslanmayacak şekide Mekkelilerin sağlığına elverişli olmuştur.  Bir başka rivayete göre İbrahim (sallallahu aleyhi vesellem) oraya gelince:  - İsmail nerede, diye sordu. Karısı:  - Avlanmaya gitti, dedi. Han ımı :Yemek yemek ve su içmek için buyurmaz  mısınız? Dedi. İbrahim ne yiyor, ne içiyorsunuz diye sordu. Kadın:  - Yemeğimiz et, içtiğimiz de sudur, dedi. İşte o zaman a.s.):  - Allah’ım onların yiyecek ve içeceklerine bereket ver diye dua etti. İbni Abbas  sözüne şöyle devam etti: Ebu’l-Kas ım (sallallahu aleyhi vesellem), “ İşte bu  İbrahim’in duasının bereketidir” buyurdu.  İbrahim gelinine şöyle dedi: Kocan eve gelince ona benim selam ımı söyle ve  kendisine hatırlat da kapısının eşiğine sahip olsun, dedi. İsmail eve gelince,   - Eve gelen oldu mu? Diye sordu. Karısı:  - Evet, güzel görünümlü bir ihti yar geldi, diyerek onun hakk ında güzel şeyler  söyledi. Sözüne devamla, Bana seni sordu, ben de anlatt ım. Geçimimizi ö ğrenmek  istedi, ben de çok iyi olduğunu söyledim, dedi. İsmail:  - Sana bir tavsiyede bulundu mu? Diye sordu. O da:  - Evet sana selam söyledi ve kap ının e şiğine sahip olman ı emretti, dedi. O  zaman İsmail:  - O benim babamd ır. Evin eşiği de sensin, babam seni ho ş tutmamı, seninle iyi  geçinmemi emretmiş, dedi.  Allah’ın diledi ği kadar bir zaman geçtikten sonra İbrahim (sallallahu aleyhi  vesellem) bir daha geldi. O s ırada İsmail zemzemin yan ındaki büyük bir a ğacın  altına oturmu ş, ok yontuyordu. Babas ını görünce aya ğa kalkt ı. Uzun süre birbirini  görmeyen bir baba çocuğuna bir çocuk da babasına sevgi ve saygısını nasıl gösterirse  onlar da birbirlerine öyle yaptılar. İbrahim (a.s.) oğluyla konuşmaya başladı:  - İsmail, Allah bana önemli bir görev verdi.  - Öyleyse Rabbinin emrini yerine getir babacağım.  - Ama bana yardım edeceksin.  - Sana elbette yardım edeceğim.  - İbrahim oradaki yüksekçe bir tepeyi gösterdi ve:  - Allah i şte şuraya bir ev yapmam ı emretti, dedi. İbrahim oraya Kabe’nin  temelini at ıp yükseltti. İsmail ta ş getiriyor, İbrahim de duvar örüyordu. Binan ın  duvarları yükselince İsmail şu Makam ı İbrahim diye bilinen ta şı getirip babas ına  v e r d i .  O  d a  b u  t aşı iskele gibi kullan ıp üzerine ç ıkıp İsmail’in getirdiği ta şlarla  inşaata devam etti. Onlar beraberce binay ı yaparken: “Rabbim bizden bu hizmeti  kabul eyle. Şüphesiz sen duamızı duyan ve niyetimizi bilensin.” (2 Bakara, 127) diye  dua ediyorlardı.  Bir başka rivayet ise şöyledir:  İbrahim (a.s.) İsmail ile annesini al ıp yola ç ıktı. Yanlar ında bir de su k ırbası  vardı. İsmail’in annesi susad ıkça k ırbadan içip o ğlunu emziriyordu. Nihayet  Mekke’ye gelince İbrahim Hâcer’i büyük bir a ğacın alt ına b ıraktı. Sonra geriye  dönüp giderken, Hacer arkas ına tak ıldı. Keda mevkiine gelince Hacer onun  arkasından:  - İbrahim bizi kime bırakıp gidiyorsun? diye seslendi. O da:  - Allah’a bırakıyorum, dedi. Hâcer:  - Allah’ ın korumas ına raz ıyım, sonra geri döndü. K ırbadaki sudan içip  çocuğunu emziriyordu. Sonunda su bitti.  Hacer gidip etrafa bakay ım belki birini görürüm dedi. Yürüyüp Safa tepesine  çıktı, etrafa bak ındı. Fakat kimseyi göremedi. Vadiye inince ko şmaya ba şladı,  Merve’ye geldi. Sonra da gidip çocu ğa bakay ım acaba ne yap ıyor diye söylendi.  Dönüp çocu ğun yan ına geldi, çocuk b ıraktığı gibi bitkin bir halde ölecek gibi  duruyordu. Orada durmaya gönlü raz ı olmad ı. Gidip etrafa bak ınayım belki birini  görebilirim dedi. Gidip Safa tepesine ç ıktı. Etrafına bakındı, fakat kimseyi göremedi.  Böylece iki tepe aras ında yediyi tamamlad ı, sonra kendi kendine acaba çocuk ne  yapıyor, bir daha görsem, derken bir ses işitti ve:  “Eğer bir iyilik yapabileceksen yardım et” diye seslendi.  Bir de bakt ı ki Cibril (a.s.) ayak topu ğuyla yere vurdu ve oradan su f ışkırdı.  Hacer hayretler içinde kald ı, avucuyla k ırbasına su doldurmaya ba şladı... Buhari  hadisin devamını rivayet etti. (Buhari, Enbiya, 9)  J                             ",
1870,,,"Said ibni Zeyd (Allah Ondan raz ı olsun) Rasûlullah (sallallahu aleyhi  vesellem)’i şöyle buyururken i şittim dedi: “Mantar (domalan) İsrailoğullarına ikram  edilen kudret helvası türünden bir r ızıktır. Suyu da göz hastal ığına şifadır.” (Buhari,  Tıb, 20; Müslim, Eşribe, 157)","Buhari,  Tıb, 20; Müslim, Eşribe, 157"
1871,"BÖLÜM: 371  İSTİĞFAR VE TEVBE    W     “...Allah’tan günahının bağışlanmasını iste.” (47 Muhammed, 19)  W        “Allah’tan bağışlanma iste, çünkü Allah çok ba ğışlayan ve çok merhamet  edendir.” (4 Nisa, 106)  W  “ O’nu eksiksiz övgülerle överek tesbih et ve kendisini her türlü  yakıştırmalardan uzak ve mukaddes bil, onun şanını yücelt. Ondan ba ğışlanmanı ve  affedilmeni iste. Çünkü gerçekten o ke ndisine tevbe ile yönelenleri her zaman  bağışlayıp affedendir.” (110 Nasr, 3)  W            “...Allahtan korkanlar için Rableri kat ında mesken olarak, içlerinden ırmaklar  akan, içinde ebedi kalacaklar ı cennetler, tertemiz e şler ve Allah’tan bir ho şnutluk  vardır. Allah kullar ını çok iyi görendir.  (verilecek tüm bu nimetler) Ey Rabbimiz,  sana inan ıyoruz, bizi affet, günahlar ımızı ba ğışla ve bizi azab ından koru derler.  Onlar ki sabrederler ve do ğru dürüsttürler. Rablerine yürekten ba ğlı olup mallar ını  Allah yolunda harcarlar ve seher vakitlerinde ba ğışlanma dileyenler(içindir).” (3 Al-i  İmran, 15-17)  W           “Ama kim kötülük yapar, , veya ke ndi nefsine zulmeder de daha sonra  affetmesi için Allah’a yalvar ırsa, Allah’ ı çok ba ğışlayıcı ve merhametli olarak  bulacaktır.” (4 Nisa, 110)  W                  “Oysa ey Peygamber! sen onlar ın aras ında iken, Allah onlara azap edecek  değildir ve onların arasında bulunan mü’minler, Allah’tan bağışlanmalarını isterken  yine Allah onlara azap edici değildir.” (8 Enfal, 33)  W              “.Ve yine onlar ki, utanç verici bir kötülük yaptıklarında , veya kendi canlarına  zulm ettikleri zaman Allah’ ı hat ırlar ve günahlar ının aff ı için yalvar ırlar. Zaten  Allah’tan başka kim günahlar ı affedebilir. Onlar i şledikleri günah üzerinde  bilerek  ısrar etmezler.” (3 Al-i İmran, 135)              K",E ğar el-Müzeni (Allah Ondan raz ı olsun),"E ğar el-Müzeni (Allah Ondan raz ı olsun) ’den rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu:   “Bazan benim kalbim de dalar. (Kalbi me gaflet geliyor) Ama ben günde yüz  defa Allah’tan bağışlanma diliyorum.” (Müslim, Zikir, 41)","Müslim, Zikir, 41"
1872,J                    K,,"Ebu Hureyre (Allah Ondan raz ı olsun) Rasûlullah (sallallahu aleyhi  vesellem)’i şöyle buyururken i şittim dedi: “Vallahi ben günde yetmi ş defadan fazla  Allah’tan beni bağışlamasını diler ve tevbe ederim.” (Buhari, Deavat, 3)  J                   K",
1873,,Yine Ebu Hureyre (Allah Ondan raz ı olsun)’dan,"Yine Ebu Hureyre (Allah Ondan raz ı olsun)’dan rivayet edildiğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdu:  “Canımı elinde tutan Allah’a yemin ederim ki, sizler hiç günah i şlemeseydiniz  ve bu sebeple de tevbe ve isti ğfar etmemiş olsaydınız, Allah sizleri ortadan kald ırır,  yerinize günah i şledikten sonra Allah’tan af dileyecek bir toplum getirir ve onlar ı  affederdi.” (Müslim, Tevbe, 11)","Müslim, Tevbe, 11"
1874, K,,"İbni Ömer (Allah Onlardan raz ı olsun) şöyle demi ştir: Biz Rasûlullah  (sallallahu aleyhi vesellem)’in bir toplant ıda yüz defa “Rabbi ğfir li ve tüb aleyye  inneke ente’t-tevvâbu’r-Rahîm = Allahım beni ba ğışla, tevbemi kabul eyle. Çünkü  sen tevbeleri çok kabul eden ve çok merhamet edensin, dedi ğini sayard ık.” (Ebu  Davud, Vitr, 26; Tirmizi, Deavat, 39)  W                           K",
1875,,İbni Abbas (Allah Onlardan raz ı olsun),"İbni Abbas (Allah Onlardan raz ı olsun)’den rivayet edildi ğine göre  Rasûlullah (sallallahu aleyhi vesellem) şöyle buyurdular:  “Bir kimse günahlar ına tevbe ile ba ğışlanma talebine devam ederse Allah o  kimseye her darl ıktan bir ç ıkış, her üzüntüden bir kurtulu ş yolu gösterir ve ona  beklemediği yerden rızık verir.” (Ebu Davud, Vitir, 26)         K",
